HMDD v2.0	category	HMDD v3.0
"Abortion, Habitual"	NA	Habitual Abortion
Acquired Immunodeficiency Syndrome	Y	Acquired Immunodeficiency Syndrome
ACTH-Secreting Pituitary Adenoma	NA	Pituitary Adenoma
Acute Coronary Syndrome	Y	Acute Coronary Syndrome
Acute Lung Injury	Y	Acute Lung Injury
Adenocarcinoma	NA	"Adenocarcinoma, Colon; Adenocarcinoma, Endometrial; Adenocarcinoma, Esophageal; Adenocarcinoma, Lung; Adenocarcinoma, Pancreatic Ductal; Colorectal Adenocarcinoma"
Adenoma	NA	"Adenocarcinoma, Colon"
Adenoviridae Infections	NA	Adenovirus Infection
Adrenal Cortex Neoplasms	Y	Adrenal Cortex Neoplasms
Adrenocortical Adenoma	NA	Adrenal Cortex Neoplasms
Adrenocortical Carcinoma	NA	"Carcinoma, Adrenocortical"
Aging	NA	Colorectal Carcinoma
AIDS Dementia Complex	NA	Dementia
Albuminuria	NA	NA
Alopecia	Y	Alopecia
Alzheimer Disease	Y	Alzheimer Disease
Amyloidosis	Y	Amyloidosis
Amyotrophic Lateral Sclerosis	Y	Amyotrophic Lateral Sclerosis
"Anemia, Sickle Cell"	NA	Anemia
"Angina, Unstable"	NA	NA
Anoxia	NA	NA
Antiphospholipid Syndrome	Y	Antiphospholipid Syndrome
Anus Neoplasms	NA	Anus Neoplasm
Anxiety Disorders	Y	Anxiety Disorders
"Aortic Aneurysm, Abdominal"	Y	"Aortic Aneurysm, Abdominal"
"Aortic Aneurysm, Thoracic"	Y	"Aortic Aneurysm, Thoracic"
Aortic Valve Insufficiency	NA	Aortic Insufficiency
Aortic Valve Stenosis	NA	Aortic Stenosis
"Arrhythmias, Cardiac"	NA	"Arrhythmia; Cardiomyopathy, Hypertrophic; Coronary Artery Disease; Long QT Syndrome"
Arthritis	Y	Arthritis
"Arthritis, Psoriatic"	NA	Psoriatic Arthritis
"Arthritis, Rheumatoid"	NA	Rheumatoid Arthritis
Asthma	Y	Asthma
Astrocytoma	Y	Astrocytoma
Atherosclerosis	Y	Atherosclerosis
Atrial Fibrillation	Y	Atrial Fibrillation
Atrophy	NA	Muscular Dystrophy
Autistic Disorder	Y	Autistic Disorder
Autoimmune Diseases	NA	Autoimmune Diseases [unspecific]
Azoospermia	Y	Azoospermia
Barrett Esophagus	Y	Barrett Esophagus
Behcet Syndrome	NA	Behcet Disease
Biliary Atresia	Y	Biliary Atresia
Biliary Tract Neoplasms	Y	Biliary Tract Neoplasms
Bladder Neoplasms	Y	Bladder Neoplasms
Brain Injuries	NA	Brain Disease [unspecific]
Brain Injury	NA	Brain Disease [unspecific]
Brain Ischemia	NA	Ischemic Diseases [unspecific]
Brain Neoplasms	Y	Brain Neoplasms
Breast Neoplasms	Y	Breast Neoplasms
Burkitt Lymphoma	NA	"Lymphoma, Burkitt"
Burns	Y	Burns
Carcinoma	NA	Neoplasms [unspecific]
"Carcinoma, Basal Cell"	Y	"Carcinoma, Basal Cell"
"Carcinoma, Ductal, Breast"	NA	Breast Ductal Carcinoma
"Carcinoma, Ehrlich Tumor"	Y	"Carcinoma, Ehrlich Tumor"
"Carcinoma, Embryonal"	Y	"Carcinoma, Embryonal"
"Carcinoma, Endometrioid"	NA	"Carcinoma, Endometrioid Endometrial"
"Carcinoma, Hepatocellular"	Y	"Carcinoma, Hepatocellular"
"Carcinoma, Neuroendocrine"	Y	"Carcinoma, Neuroendocrine"
"Carcinoma, Non-Small-Cell Lung"	NA	"Carcinoma, Lung, Non-Small-Cell"
"Carcinoma, Oral"	Y	"Carcinoma, Oral"
"Carcinoma, Renal Cell"	Y	"Carcinoma, Renal Cell"
"Carcinoma, Small Cell"	NA	"Carcinoma, Lung, Small-Cell"
"Carcinoma, Squamous Cell"	NA	"Squamous Cell Carcinoma, Cerevial; Squamous Cell Carcinoma, Esophageal; Squamous Cell Carcinoma, Head and Neck; Squamous Cell Carcinoma, Laryngeal or Hypopharyngeal; Squamous Cell Carcinoma, Lung; Squamous Cell Carcinoma, Maxillary Sinus; Squamous Cell Carcinoma, Oral; Squamous Cell Carcinoma, Sinonasal; Squamous Cell Carcinoma, Skin or Unspecific; Squamous Cell Carcinoma, Tongue"
Cardiomegaly	Y	Cardiomegaly
Cardiomyopathies	NA	Cardiomyopathy
"Cardiomyopathy, Dilated"	Y	"Cardiomyopathy, Dilated"
"Cardiomyopathy, Hypertrophic"	Y	"Cardiomyopathy, Hypertrophic"
Cardiovascular Diseases	NA	Cardiovascular Diseases [unspecific]
Carotid Artery Diseases	Y	Carotid Artery Diseases
