miRNA	n	DSW
hsa-mir-1322	1	0.00117647058824
hsa-mir-1323	3	0.00352941176471
hsa-mir-3195	1	0.00117647058824
hsa-mir-519d	11	0.0129411764706
hsa-mir-603	6	0.00705882352941
hsa-mir-1324	1	0.00117647058824
hsa-mir-3196	3	0.00352941176471
hsa-mir-674	1	0.00117647058824
hsa-mir-675	17	0.02
hsa-mir-676	1	0.00117647058824
hsa-mir-670	1	0.00117647058824
hsa-mir-671	12	0.0141176470588
hsa-mir-672	1	0.00117647058824
hsa-mir-3198	1	0.00117647058824
hsa-mir-329-2	2	0.00235294117647
hsa-mir-1321	1	0.00117647058824
hsa-mir-26a-1	30	0.0352941176471
hsa-mir-7-2	29	0.0341176470588
hsa-mir-122	94	0.110588235294
hsa-mir-329-1	2	0.00235294117647
hsa-mir-124	80	0.0941176470588
hsa-mir-125	14	0.0164705882353
hsa-mir-126	142	0.167058823529
hsa-mir-127	42	0.0494117647059
hsa-mir-128	33	0.0388235294118
hsa-mir-129	31	0.0364705882353
hsa-mir-19a	104	0.122352941176
hsa-mir-19b	51	0.06
hsa-mir-1256	1	0.00117647058824
hsa-mir-1254	3	0.00352941176471
hsa-mir-350	1	0.00117647058824
hsa-mir-3611	1	0.00117647058824
hsa-mir-1254-1	1	0.00117647058824
hsa-mir-1258	5	0.00588235294118
hsa-mir-125b-1	60	0.0705882352941
hsa-mir-125b-2	54	0.0635294117647
hsa-mir-489	15	0.0176470588235
hsa-mir-488	9	0.0105882352941
hsa-let-7f-2	30	0.0352941176471
hsa-mir-486	55	0.0647058823529
hsa-mir-485	18	0.0211764705882
hsa-mir-484	18	0.0211764705882
hsa-mir-483	48	0.0564705882353
hsa-mir-449	5	0.00588235294118
hsa-mir-3607	1	0.00117647058824
hsa-mir-509-2	3	0.00352941176471
hsa-mir-509-3	5	0.00588235294118
hsa-mir-509-1	3	0.00352941176471
hsa-mir-6875	2	0.00235294117647
hsa-mir-6873	1	0.00117647058824
hsa-mir-3127	2	0.00235294117647
hsa-mir-520a	15	0.0176470588235
hsa-mir-520c	13	0.0152941176471
hsa-mir-520b	12	0.0141176470588
hsa-mir-125b	108	0.127058823529
hsa-mir-520d	13	0.0152941176471
hsa-mir-520g	7	0.00823529411765
hsa-mir-125a	71	0.0835294117647
hsa-mir-520h	12	0.0141176470588
hsa-mir-9500	1	0.00117647058824
hsa-mir-423-5p	1	0.00117647058824
hsa-mir-199	10	0.0117647058824
hsa-mir-198	19	0.0223529411765
hsa-mir-4294	1	0.00117647058824
hsa-mir-195	82	0.0964705882353
hsa-mir-194	49	0.0576470588235
hsa-mir-197	37	0.0435294117647
hsa-mir-196	8	0.00941176470588
hsa-mir-191	44	0.0517647058824
hsa-mir-190	6	0.00705882352941
hsa-mir-193	7	0.00823529411765
hsa-mir-192	75	0.0882352941176
hsa-mir-4706	1	0.00117647058824
hsa-mir-329	8	0.00941176470588
hsa-mir-449a	33	0.0388235294118
hsa-mir-4701	1	0.00117647058824
hsa-mir-3664	1	0.00117647058824
hsa-mir-500a	5	0.00588235294118
hsa-mir-1284	2	0.00235294117647
hsa-mir-1914	2	0.00235294117647
hsa-mir-3658	1	0.00117647058824
hsa-mir-4726	1	0.00117647058824
hsa-mir-200b	90	0.105882352941
hsa-mir-200c	88	0.103529411765
hsa-mir-135a-1	16	0.0188235294118
hsa-mir-200a	82	0.0964705882353
hsa-mir-410	22	0.0258823529412
hsa-mir-411	12	0.0141176470588
hsa-mir-412	1	0.00117647058824
hsa-mir-555	1	0.00117647058824
hsa-mir-557	5	0.00588235294118
hsa-mir-556	2	0.00235294117647
hsa-mir-551	1	0.00117647058824
hsa-mir-550	2	0.00235294117647
hsa-mir-552	7	0.00823529411765
hsa-mir-4419b	1	0.00117647058824
hsa-mir-642a	4	0.00470588235294
hsa-mir-642b	4	0.00470588235294
hsa-mir-30a	93	0.109411764706
hsa-mir-30b	54	0.0635294117647
hsa-mir-30c	41	0.0482352941176
hsa-mir-30d	36	0.0423529411765
hsa-mir-30e	35	0.0411764705882
hsa-mir-4728	2	0.00235294117647
hsa-mir-3622a	1	0.00117647058824
hsa-mir-3622b	2	0.00235294117647
hsa-mir-4436b-2	1	0.00117647058824
hsa-mir-4436b-1	1	0.00117647058824
hsa-mir-90b	1	0.00117647058824
hsa-mir-562	1	0.00117647058824
hsa-mir-4634	2	0.00235294117647
hsa-mir-518a	4	0.00470588235294
hsa-mir-4639	1	0.00117647058824
hsa-mir-703	1	0.00117647058824
hsa-mir-380	4	0.00470588235294
hsa-mir-663b	6	0.00705882352941
hsa-mir-29b-1	47	0.0552941176471
hsa-mir-29b-2	41	0.0482352941176
hsa-mir-300	11	0.0129411764706
hsa-mir-301	4	0.00470588235294
hsa-mir-302	10	0.0117647058824
hsa-mir-382	21	0.0247058823529
hsa-mir-3186	1	0.00117647058824
hsa-mir-193b	49	0.0576470588235
hsa-mir-193a	48	0.0564705882353
hsa-mir-4723	1	0.00117647058824
hsa-mir-588	1	0.00117647058824
hsa-mir-124-3	24	0.0282352941176
hsa-mir-1897	1	0.00117647058824
hsa-mir-124a-1	1	0.00117647058824
hsa-mir-124a-3	2	0.00235294117647
hsa-mir-124a-2	2	0.00235294117647
hsa-mir-3646	2	0.00235294117647
hsa-mir-3098	1	0.00117647058824
hsa-mir-133a-1	35	0.0411764705882
hsa-mir-4443	2	0.00235294117647
hsa-mir-2116	1	0.00117647058824
hsa-mir-4446	1	0.00117647058824
hsa-mir-4447	1	0.00117647058824
hsa-mir-4448	1	0.00117647058824
hsa-mir-4449	2	0.00235294117647
hsa-mir-160	1	0.00117647058824
hsa-mir-161	1	0.00117647058824
hsa-mir-4521	2	0.00235294117647
hsa-mir-3130	1	0.00117647058824
hsa-mir-514a-2	2	0.00235294117647
hsa-mir-208a	23	0.0270588235294
hsa-mir-3662	1	0.00117647058824
hsa-mir-664a	2	0.00235294117647
hsa-mir-664b	1	0.00117647058824
hsa-mir-3686	1	0.00117647058824
hsa-mir-147a	5	0.00588235294118
hsa-mir-518d	1	0.00117647058824
hsa-mir-6734	1	0.00117647058824
hsa-mir-4262	3	0.00352941176471
hsa-mir-18b	28	0.0329411764706
hsa-mir-4465	1	0.00117647058824
hsa-mir-15	15	0.0176470588235
hsa-mir-4770	1	0.00117647058824
hsa-mir-17	139	0.163529411765
hsa-mir-16	117	0.137647058824
hsa-mir-19	14	0.0164705882353
hsa-mir-18	44	0.0517647058824
hsa-mir-521-2	1	0.00117647058824
hsa-mir-374	1	0.00117647058824
hsa-mir-3163	1	0.00117647058824
hsa-mir-605	7	0.00823529411765
hsa-mir-376a	16	0.0188235294118
hsa-mir-376b	4	0.00470588235294
hsa-mir-541	2	0.00235294117647
hsa-mir-601	9	0.0105882352941
hsa-mir-526a-2	4	0.00470588235294
hsa-mir-526a-1	4	0.00470588235294
hsa-mir-602	5	0.00588235294118
hsa-mir-608	17	0.02
hsa-mir-4505	2	0.00235294117647
hsa-mir-1304	1	0.00117647058824
hsa-mir-544	1	0.00117647058824
hsa-mir-3175	3	0.00352941176471
hsa-mir-1282	1	0.00117647058824
hsa-mir-6126	2	0.00235294117647
hsa-mir-663a	18	0.0211764705882
hsa-mir-4501	1	0.00117647058824
hsa-mir-1207	11	0.0129411764706
