dataSetId	FileName	Clade	SpeciesFull	SpeciesShort	Abbreviation	Assembly	SeqType	CellTissue	Treatment	MainAccession	SubAccession	SRPaccession	SRAaccession	CitationForShort	Citation	PubMedID	Title
DEATR0001	leaf_merge_miRNAsites_final.txt	amborellales	Amborella trichopoda	A. trichopoda	atr	AMTR1.0	PARE	leaf	total RNA	GSE41811	GSM1024603	SRP016775	SRX201185	-	-	-	Characterization of small RNAs and their targets in Amborella trichopoda
DEATR0002	opened_female_flower_merge_miRNAsites_final.txt	amborellales	Amborella trichopoda	A. trichopoda	atr	AMTR1.0	PARE	opened female flower	total RNA	GSE41811	GSM1024604	SRP016775	SRX201186	-	-	-	Characterization of small RNAs and their targets in Amborella trichopoda
DEATH0001	Col-0_inflorescence_dT_merge_miRNAsites_final.txt	eudicots	Arabidopsis thaliana	A. thaliana	ath	TAIR10	PARE	inflorescence	Col-0, dT primed, pool-amplified	GSE11007	GSM278334	-	-	Addo-Quaye C, et al. Curr Biol 2008	Addo-Quaye C, Eshoo TW, Bartel DP, Axtell MJ. Endogenous siRNA and miRNA targets identified by sequencing of the Arabidopsis degradome. Curr Biol 2008 May 20;18(10):758-62.	18472421	Endogenous siRNA and miRNA targets identified by sequencing of the Arabidopsis degradome
DEATH0002	Col-0_inflorescence_random_merge_miRNAsites_final.txt	eudicots	Arabidopsis thaliana	A. thaliana	ath	TAIR10	PARE	inflorescence	Col-0, random primed, primer extension	GSE11007	GSM278335	-	-	Addo-Quaye C, et al. Curr Biol 2008	Addo-Quaye C, Eshoo TW, Bartel DP, Axtell MJ. Endogenous siRNA and miRNA targets identified by sequencing of the Arabidopsis degradome. Curr Biol 2008 May 20;18(10):758-62.	18472421	Endogenous siRNA and miRNA targets identified by sequencing of the Arabidopsis degradome
DEATH0003	Col-0_seedling_random_merge_miRNAsites_final.txt	eudicots	Arabidopsis thaliana	A. thaliana	ath	TAIR10	PARE	seedling	Col-0, random primed, primer extension	GSE11007	GSM278370	-	-	Addo-Quaye C, et al. Curr Biol 2008	Addo-Quaye C, Eshoo TW, Bartel DP, Axtell MJ. Endogenous siRNA and miRNA targets identified by sequencing of the Arabidopsis degradome. Curr Biol 2008 May 20;18(10):758-62.	18472421	Endogenous siRNA and miRNA targets identified by sequencing of the Arabidopsis degradome
DEATH0004	Col-0_inflorescence_merge_miRNAsites_final.txt	eudicots	Arabidopsis thaliana	A. thaliana	ath	TAIR10	PARE	inflorescence	Col-0, wild-type	GSE11094	GSM280226	SRP000713	-	German MA, et al. Nat Biotechnol 2008	German MA, Pillay M, Jeong DH, Hetawal A et al. Global identification of microRNA-target RNA pairs by parallel analysis of RNA ends. Nat Biotechnol2008 Aug;26(8):941-6.	18542052	Global identification of microRNA-target RNA pairs by parallel analysis of RNA ends
DEATH0005	xrn4_inflorescence_merge_miRNAsites_final.txt	eudicots	Arabidopsis thaliana	A. thaliana	ath	TAIR10	PARE	inflorescence	Col-0, xrn4 mutant	GSE11094	GSM280227	SRP000713	-	German MA, et al. Nat Biotechnol 2008	German MA, Pillay M, Jeong DH, Hetawal A et al. Global identification of microRNA-target RNA pairs by parallel analysis of RNA ends. Nat Biotechnol2008 Aug;26(8):941-6.	18542052	Global identification of microRNA-target RNA pairs by parallel analysis of RNA ends
DEATH0006	Col-0_flower_bud_repA_merge_miRNAsites_final.txt	eudicots	Arabidopsis thaliana	A. thaliana	ath	TAIR10	GMUCT	flower bud	Col-0, uncapped/cleaved RNA, rep1	GSE47121	GSM1145327	SRP022925	SRX283759	Willmann MR, et al. Methods 2014	Willmann MR, Berkowitz ND, Gregory BD. Improved genome-wide mapping of uncapped and cleaved transcripts in eukaryotes--GMUCT 2.0. Methods 2014 May 1;67(1):64-73.	23867340	Improved genome-wide mapping of uncapped and cleaved transcripts in eukaryotes--GMUCT 2.0
DEATH0007	Col-0_flower_bud_repB_merge_miRNAsites_final.txt	eudicots	Arabidopsis thaliana	A. thaliana	ath	TAIR10	GMUCT	flower bud	Col-0, uncapped/cleaved RNA, rep2	GSE47121	GSM1145328	SRP022925	SRX283760	Willmann MR, et al. Methods 2014	Willmann MR, Berkowitz ND, Gregory BD. Improved genome-wide mapping of uncapped and cleaved transcripts in eukaryotes--GMUCT 2.0. Methods 2014 May 1;67(1):64-73.	23867340	Improved genome-wide mapping of uncapped and cleaved transcripts in eukaryotes--GMUCT 2.0
DEATH0008	Col-0_inflorescence_GSE52342_merge_miRNAsites_final.txt	eudicots	Arabidopsis thaliana	A. thaliana	ath	TAIR10	PARE	inflorescence	Col-0, wild-type	GSE52342	GSM1263708	SRP033352	SRX384362	Creasey KM, et al. Nature 2014	Creasey KM, Zhai J, Borges F, Van Ex F et al. miRNAs trigger widespread epigenetically activated siRNAs from transposons in Arabidopsis. Nature 2014 Apr 17;508(7496):411-5.	24670663	miRNAs trigger widespread epigenetically activated siRNAs from transposons in Arabidopsis
