datasetID	Species	SeqType	GeneSymbol	CellTissue	Description	Source	MainAccession	SubAccession	Assembly	CitationForShort	Citation	PubMedID	Title
SBDH1	Homo sapiens	CLASH	AGO1	Flp-In-T-REx-293	6xHis (PTH) tag AGO1, CLASH protocol	PubMed	23622248	23622248	hg19	Helwak A, et al. Cell. 2013	Helwak A, Kudla G, Dudnakova T, Tollervey D. Mapping the human miRNA interactome by CLASH reveals frequent noncanonical binding. Cell. 2013 Apr 25;153(3):654-65.	23622248	Mapping the human miRNA interactome by CLASH reveals frequent noncanonical binding
SBDH2	Homo sapiens	HITS-CLIP	AGO1-4	Jijoye	EBV-infected, pan AGO antibody A28, rep1	PubMed	22473208	22473208	hg19	Riley KJ, et al. EMBO J. 2012	Riley KJ, Rabinowitz GS, Yario TA, Luna JM, Darnell RB, Steitz JA. EBV and human microRNAs co-target oncogenic and apoptotic viral and human genes during latency. EMBO J. 2012 May 2;31(9):2207-21.	22473208	EBV and human microRNAs co-target oncogenic and apoptotic viral and human genes during latency
SBDH3	Homo sapiens	HITS-CLIP	AGO1-4	Jijoye	EBV-infected, pan AGO antibody A28, rep2	PubMed	22473208	22473208	hg19	Riley KJ, et al. EMBO J. 2012	Riley KJ, Rabinowitz GS, Yario TA, Luna JM, Darnell RB, Steitz JA. EBV and human microRNAs co-target oncogenic and apoptotic viral and human genes during latency. EMBO J. 2012 May 2;31(9):2207-21.	22473208	EBV and human microRNAs co-target oncogenic and apoptotic viral and human genes during latency
SBDH4	Homo sapiens	HITS-CLIP	AGO1-4	Jijoye	EBV-infected, pan AGO antibody A28, rep3	PubMed	22473208	22473208	hg19	Riley KJ, et al. EMBO J. 2012	Riley KJ, Rabinowitz GS, Yario TA, Luna JM, Darnell RB, Steitz JA. EBV and human microRNAs co-target oncogenic and apoptotic viral and human genes during latency. EMBO J. 2012 May 2;31(9):2207-21.	22473208	EBV and human microRNAs co-target oncogenic and apoptotic viral and human genes during latency
SBDH5	Homo sapiens	HITS-CLIP	AGO2	Jijoye	AGO2 antibody, rep1	PubMed	22473208	22473208	hg19	Riley KJ, et al. EMBO J. 2012	Riley KJ, Rabinowitz GS, Yario TA, Luna JM, Darnell RB, Steitz JA. EBV and human microRNAs co-target oncogenic and apoptotic viral and human genes during latency. EMBO J. 2012 May 2;31(9):2207-21.	22473208	EBV and human microRNAs co-target oncogenic and apoptotic viral and human genes during latency
SBDH6	Homo sapiens	HITS-CLIP	AGO2	Jijoye	AGO2 antibody, rep2	PubMed	22473208	22473208	hg19	Riley KJ, et al. EMBO J. 2012	Riley KJ, Rabinowitz GS, Yario TA, Luna JM, Darnell RB, Steitz JA. EBV and human microRNAs co-target oncogenic and apoptotic viral and human genes during latency. EMBO J. 2012 May 2;31(9):2207-21.	22473208	EBV and human microRNAs co-target oncogenic and apoptotic viral and human genes during latency
SBDH7	Homo sapiens	HITS-CLIP	AGO2	Jijoye	AGO2 antibody, rep3	PubMed	22473208	22473208	hg19	Riley KJ, et al. EMBO J. 2012	Riley KJ, Rabinowitz GS, Yario TA, Luna JM, Darnell RB, Steitz JA. EBV and human microRNAs co-target oncogenic and apoptotic viral and human genes during latency. EMBO J. 2012 May 2;31(9):2207-21.	22473208	EBV and human microRNAs co-target oncogenic and apoptotic viral and human genes during latency
SBDH8	Homo sapiens	HITS-CLIP	AGO2	HEK293S	miRNA124 transfection	PubMed	23024010	23024010	hg19	Uren PJ, et al. Bioinformatics 2012	Uren PJ, Bahrami-Samani E, Burns SC, Qiao M, Karginov FV, Hodges E, Hannon GJ, Sanford JR, Penalva LO, Smith AD. Site identification in high-throughput RNA-protein interaction data. Bioinformatics. 2012 Dec 1;28(23):3013-20	23024010	Site identification in high-throughput RNA-protein interaction data
SBDH9	Homo sapiens	iCLIP	ELAVL1	HeLa	None	PubMed	21890634	21890634	hg19	Uren PJ, et al. J Biol Chem 2011	Uren PJ, Burns SC, Ruan J, Singh KK, Smith AD, Penalva LO. Genomic analyses of the RNA-binding protein Hu antigen R (HuR) identify a complex network of target genes and novel characteristics of its binding sites. J Biol Chem. 2011 Oct 28;286(43):37063-6	21890634	Genomic analyses of the RNA-binding protein Hu antigen R (HuR) identify a complex network of target genes and novel characteristics of its binding sites
SBDH10	Homo sapiens	PAR-CLIP	AGO2	hESCs	WA-09, 4-thiouridine, RNase T1	PubMed	22012620	22012620	hg19	Lipchina I, et al. Genes Dev. 2011	Lipchina I, Elkabetz Y, Hafner M, Sheridan R, Mihailovic A, Tuschl T, Sander C, Studer L, Betel D. Genome-wide identification of microRNA targets in human ES cells reveals a role for miR-302 in modulating BMP response. Genes Dev. 2011 Oct 15;25(20):2173-86.	22012620	Genome-wide identification of microRNA targets in human ES cells reveals a role for miR-302 in modulating BMP response
SBDH11	Homo sapiens	PAR-CLIP	EWSR1	HEK293	stable and inducible, RNase T1	PubMed	22081015	22081015	hg19	Hoell JI, et al. Nat Struct Mol Biol 2011	Hoell JI, Larsson E, Runge S, Nusbaum JD, Duggimpudi S, Farazi TA, Hafner M, Borkhardt A, Sander C, Tuschl T. RNA targets of wild-type and mutant FET family proteins. Nat Struct Mol Biol. 2011 Nov 13;18(12):1428-31	22081015	RNA targets of wild-type and mutant FET family proteins
SBDH12	Homo sapiens	PAR-CLIP	FUS	HEK293	ALS-causing mutant R521G, RNase T1	PubMed	22081015	22081015	hg19	Hoell JI, et al. Nat Struct Mol Biol 2011	Hoell JI, Larsson E, Runge S, Nusbaum JD, Duggimpudi S, Farazi TA, Hafner M, Borkhardt A, Sander C, Tuschl T. RNA targets of wild-type and mutant FET family proteins. Nat Struct Mol Biol. 2011 Nov 13;18(12):1428-31	22081015	RNA targets of wild-type and mutant FET family proteins
SBDH13	Homo sapiens	PAR-CLIP	FUS	HEK293	stable and inducible, RNase T1	PubMed	22081015	22081015	hg19	Hoell JI, et al. Nat Struct Mol Biol 2011	Hoell JI, Larsson E, Runge S, Nusbaum JD, Duggimpudi S, Farazi TA, Hafner M, Borkhardt A, Sander C, Tuschl T. RNA targets of wild-type and mutant FET family proteins. Nat Struct Mol Biol. 2011 Nov 13;18(12):1428-31	22081015	RNA targets of wild-type and mutant FET family proteins
SBDH14	Homo sapiens	PAR-CLIP	TAF15	HEK293	stable and inducible, RNase T1	PubMed	22081015	22081015	hg19	Hoell JI, et al. Nat Struct Mol Biol 2011	Hoell JI, Larsson E, Runge S, Nusbaum JD, Duggimpudi S, Farazi TA, Hafner M, Borkhardt A, Sander C, Tuschl T. RNA targets of wild-type and mutant FET family proteins. Nat Struct Mol Biol. 2011 Nov 13;18(12):1428-31	22081015	RNA targets of wild-type and mutant FET family proteins
SBDH15	Homo sapiens	HITS-CLIP	SRSF1	HEK293T	None	PubMed	19116412	19116412	hg19	Sanford JR, et al. Genome Res. 2009	Sanford JR, Wang X, Mort M, Vanduyn N, Cooper DN, Mooney SD, Edenberg HJ, Liu Y. Splicing factor SFRS1 recognizes a functionally diverse landscape of RNA transcripts. Genome Res. 2009 Mar;19(3):381-94.	19116412	Splicing factor SFRS1 recognizes a functionally diverse landscape of RNA transcripts
SBDH16	Homo sapiens	iCLIP	TIA1	HeLa	None	PubMed	21048981	21048981	hg19	Wang Z, et al. PLoS Biol. 2010	Wang Z, Kayikci M, Briese M, Zarnack K, Luscombe NM, Rot G, Zupan B, Curk T, Ule J. iCLIP predicts the dual splicing effects of TIA-RNA interactions. PLoS Biol. 2010 Oct 26;8(10):e1000530.	21048981	iCLIP predicts the dual splicing effects of TIA-RNA interactions
SBDH17	Homo sapiens	iCLIP	TIAL1	HeLa	None	PubMed	21048981	21048981	hg19	Wang Z, et al. PLoS Biol. 2010	Wang Z, Kayikci M, Briese M, Zarnack K, Luscombe NM, Rot G, Zupan B, Curk T, Ule J. iCLIP predicts the dual splicing effects of TIA-RNA interactions. PLoS Biol. 2010 Oct 26;8(10):e1000530.	21048981	iCLIP predicts the dual splicing effects of TIA-RNA interactions
SBDH18	Homo sapiens	iCLIP	HNRNPC	HeLa	None	PubMed	23374342	23374342	hg19	Zarnack K et al. Cell 2013	Zarnack K, König J, Tajnik M, Martincorena I, Eustermann S, Stévant I, Reyes A, Anders S, Luscombe NM, Ule J. Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements. Cell. 2013 Jan 31;152(3):453-66	23374342	Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements
SBDH19	Homo sapiens	iCLIP	U2AF2	HeLa	control siRNA	PubMed	23374342	23374342	hg19	Zarnack K et al. Cell 2013	Zarnack K, König J, Tajnik M, Martincorena I, Eustermann S, Stévant I, Reyes A, Anders S, Luscombe NM, Ule J. Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements. Cell. 2013 Jan 31;152(3):453-66	23374342	Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements
SBDH20	Homo sapiens	iCLIP	U2AF2	HeLa	hnRNP C knockdown	PubMed	23374342	23374342	hg19	Zarnack K et al. Cell 2013	Zarnack K, König J, Tajnik M, Martincorena I, Eustermann S, Stévant I, Reyes A, Anders S, Luscombe NM, Ule J. Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements. Cell. 2013 Jan 31;152(3):453-66	23374342	Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements
SBDH21	Homo sapiens	iCLIP	TARDBP	brain	healthy, 21yrs	PubMed	21358640	21358640	hg19	Tollervey JR, et al. Nat Neurosci 2011	Tollervey JR, Curk T, Rogelj B, Briese M, Cereda M, Kayikci M, König J, Hortobágyi T, Nishimura AL, Zupunski V, Patani R, Chandran S, Rot G, Zupan B, Shaw CE, Ule J. Characterizing the RNA targets and position-dependent splicing regulation by TDP-43. Nat Neurosci. 2011 Apr;14(4):452-8	21358640	Characterizing the RNA targets and position-dependent splicing regulation by TDP-43
SBDH22	Homo sapiens	HITS-CLIP	PTBP1	HeLa	monomeric and dimeric, DNase I and Mnase	GEO	GSE19323	GSE19323	hg19	Xue Y, et al. Mol Cell 2009	Xue Y, Zhou Y, Wu T, Zhu T et al. Genome-wide analysis of PTB-RNA interactions reveals a strategy used by the general splicing repressor to modulate exon inclusion or skipping. Mol Cell 2009 Dec 25;36(6):996-1006	20064465	Genome-wide analysis of PTB-RNA interactions reveals a strategy used by the general splicing repressor to modulate exon inclusion or skipping
SBDH27	Homo sapiens	PAR-CLIP	AGO1	HEK293	4-thiouridine, RNase T1	GEO	GSE21918	GSM545212	hg19	Hafner M, et al. Cell 2010	Hafner M, Landthaler M, Burger L, Khorshid M, Hausser J, Berninger P, Rothballer A, Ascano M Jr, Jungkamp AC, Munschauer M, Ulrich A, Wardle GS, Dewell S, Zavolan M, Tuschl T. Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP. Cell. 2010 Apr 2;141(1):129-41.	20371350	Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP
SBDH28	Homo sapiens	PAR-CLIP	AGO2	HEK293	repeat 2, 4-thiouridine, RNase T1	GEO	GSE21918	GSM545213	hg19	Hafner M, et al. Cell 2010	Hafner M, Landthaler M, Burger L, Khorshid M, Hausser J, Berninger P, Rothballer A, Ascano M Jr, Jungkamp AC, Munschauer M, Ulrich A, Wardle GS, Dewell S, Zavolan M, Tuschl T. Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP. Cell. 2010 Apr 2;141(1):129-41.	20371350	Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP
SBDH29	Homo sapiens	PAR-CLIP	AGO2	HEK293	miR-124 transfected, 4-thiouridine, RNase T1	GEO	GSE21918	GSM545216	hg19	Hafner M, et al. Cell 2010	Hafner M, Landthaler M, Burger L, Khorshid M, Hausser J, Berninger P, Rothballer A, Ascano M Jr, Jungkamp AC, Munschauer M, Ulrich A, Wardle GS, Dewell S, Zavolan M, Tuschl T. Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP. Cell. 2010 Apr 2;141(1):129-41.	20371350	Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP
SBDH30	Homo sapiens	PAR-CLIP	AGO2	HEK293	miR-7 transfected, 4-thiouridine, RNase T1	GEO	GSE21918	GSM545217	hg19	Hafner M, et al. Cell 2010	Hafner M, Landthaler M, Burger L, Khorshid M, Hausser J, Berninger P, Rothballer A, Ascano M Jr, Jungkamp AC, Munschauer M, Ulrich A, Wardle GS, Dewell S, Zavolan M, Tuschl T. Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP. Cell. 2010 Apr 2;141(1):129-41.	20371350	Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP
SBDH31	Homo sapiens	PAR-CLIP	AGO3	HEK293	repeat 2, 4-thiouridine, RNase T1	GEO	GSE21918	GSM545214	hg19	Hafner M, et al. Cell 2010	Hafner M, Landthaler M, Burger L, Khorshid M, Hausser J, Berninger P, Rothballer A, Ascano M Jr, Jungkamp AC, Munschauer M, Ulrich A, Wardle GS, Dewell S, Zavolan M, Tuschl T. Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP. Cell. 2010 Apr 2;141(1):129-41.	20371350	Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP
SBDH32	Homo sapiens	PAR-CLIP	AGO4	HEK293	repeat 2, 4-thiouridine, RNase T1	GEO	GSE21918	GSM545215	hg19	Hafner M, et al. Cell 2010	Hafner M, Landthaler M, Burger L, Khorshid M, Hausser J, Berninger P, Rothballer A, Ascano M Jr, Jungkamp AC, Munschauer M, Ulrich A, Wardle GS, Dewell S, Zavolan M, Tuschl T. Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP. Cell. 2010 Apr 2;141(1):129-41.	20371350	Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP
SBDH33	Homo sapiens	PAR-CLIP	IGF2BP1	HEK293	doxycycline induced, 4-thiouridine, RNase T1	GEO	GSE21918	GSM545206	hg19	Hafner M, et al. Cell 2010	Hafner M, Landthaler M, Burger L, Khorshid M, Hausser J, Berninger P, Rothballer A, Ascano M Jr, Jungkamp AC, Munschauer M, Ulrich A, Wardle GS, Dewell S, Zavolan M, Tuschl T. Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP. Cell. 2010 Apr 2;141(1):129-41.	20371350	Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP
SBDH34	Homo sapiens	PAR-CLIP	IGF2BP1	HEK293	repeat 6, doxycycline induced, 4-thiouridine, RNase T1	GEO	GSE21918	GSM545207	hg19	Hafner M, et al. Cell 2010	Hafner M, Landthaler M, Burger L, Khorshid M, Hausser J, Berninger P, Rothballer A, Ascano M Jr, Jungkamp AC, Munschauer M, Ulrich A, Wardle GS, Dewell S, Zavolan M, Tuschl T. Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP. Cell. 2010 Apr 2;141(1):129-41.	20371350	Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP
SBDH35	Homo sapiens	PAR-CLIP	IGF2BP2	HEK293	repeat 5, doxycycline induced, 4-thiouridine, RNase T1	GEO	GSE21918	GSM545208	hg18	Hafner M, et al. Cell 2010	Hafner M, Landthaler M, Burger L, Khorshid M, Hausser J, Berninger P, Rothballer A, Ascano M Jr, Jungkamp AC, Munschauer M, Ulrich A, Wardle GS, Dewell S, Zavolan M, Tuschl T. Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP. Cell. 2010 Apr 2;141(1):129-41.	20371350	Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP
SBDH36	Homo sapiens	PAR-CLIP	IGF2BP3	HEK293	repeat 5, doxycycline induced, 4-thiouridine, RNase T1	GEO	GSE21918	GSM545209	hg19	Hafner M, et al. Cell 2010	Hafner M, Landthaler M, Burger L, Khorshid M, Hausser J, Berninger P, Rothballer A, Ascano M Jr, Jungkamp AC, Munschauer M, Ulrich A, Wardle GS, Dewell S, Zavolan M, Tuschl T. Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP. Cell. 2010 Apr 2;141(1):129-41.	20371350	Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP
SBDH37	Homo sapiens	PAR-CLIP	PUM2	HEK293	repeat 2, 4-thiouridine, RNase T1	GEO	GSE21918	GSM545209	hg19	Hafner M, et al. Cell 2010	Hafner M, Landthaler M, Burger L, Khorshid M, Hausser J, Berninger P, Rothballer A, Ascano M Jr, Jungkamp AC, Munschauer M, Ulrich A, Wardle GS, Dewell S, Zavolan M, Tuschl T. Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP. Cell. 2010 Apr 2;141(1):129-41.	20371350	Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP
SBDH38	Homo sapiens	PAR-CLIP	QKI	HEK293	repeat 4, 4-thiouridine, RNase T1	GEO	GSE21918	GSM545210	hg19	Hafner M, et al. Cell 2010	Hafner M, Landthaler M, Burger L, Khorshid M, Hausser J, Berninger P, Rothballer A, Ascano M Jr, Jungkamp AC, Munschauer M, Ulrich A, Wardle GS, Dewell S, Zavolan M, Tuschl T. Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP. Cell. 2010 Apr 2;141(1):129-41.	20371350	Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP
SBDH39	Homo sapiens	iCLIP	HNRNPC	HeLa	RNase I, E-MTAB-341, doRiNA database	GEO	GSE25681	GSE25681	hg19	König J, et al. Nat Struct Mol Biol 2010	König J, Zarnack K, Rot G, Curk T, Kayikci M, Zupan B, Turner DJ, Luscombe NM, Ule J. iCLIP reveals the function of hnRNP particles in splicing at individual nucleotide resolution. Nat Struct Mol Biol. 2010 Jul;17(7):909-15.	20601959	iCLIP reveals the function of hnRNP particles in splicing at individual nucleotide resolution
SBDH40	Homo sapiens	HITS-CLIP	AGO2	HEK293	repeat 1, completeT1	GEO	GSE28859	GSM714642	hg19	Kishore S, et al. Nat Methods 2011	Kishore S, Jaskiewicz L, Burger L, Hausser J, Khorshid M, Zavolan M. A quantitative analysis of CLIP methods for identifying binding sites of RNA-binding proteins. Nat Methods. 2011 May 15;8(7):559-64.	21572407	A quantitative analysis of CLIP methods for identifying binding sites of RNA-binding proteins
SBDH41	Homo sapiens	HITS-CLIP	AGO2	HEK293	repeat 2, completeT1	GEO	GSE28859	GSM714643	hg19	Kishore S, et al. Nat Methods 2011	Kishore S, Jaskiewicz L, Burger L, Hausser J, Khorshid M, Zavolan M. A quantitative analysis of CLIP methods for identifying binding sites of RNA-binding proteins. Nat Methods. 2011 May 15;8(7):559-64.	21572407	A quantitative analysis of CLIP methods for identifying binding sites of RNA-binding proteins
