dataSetId	Species	SeqType	GeneSymbol	CellTissue	Treatment	Source	MainAccession	Accession	FileName	Assembly	newFileName	CitationForShort	Citation	PubMedID	Title
SBDHR001	Homo sapiens	PARIS	-	HEK293T	HEK293T_3	GEO	GSE74353	GSM1917757	-	hg19	-	Lu Z,  et al. Cell 2016	Lu Z, Zhang QC, Lee B, Flynn RA et al. RNA Duplex Map in Living Cells Reveals Higher-Order Transcriptome Structure. Cell 2016 May 19;165(5):1267-1279. 	27180905	RNA duplex map in living cells reveals higher order transcriptome structure
SBDHR002	Homo sapiens	PARIS	-	HEK293T	HEK293T_2	GEO	GSE74353	GSM1917756	-	hg19	-	Lu Z,  et al. Cell 2016	Lu Z, Zhang QC, Lee B, Flynn RA et al. RNA Duplex Map in Living Cells Reveals Higher-Order Transcriptome Structure. Cell 2016 May 19;165(5):1267-1279. 	27180905	RNA duplex map in living cells reveals higher order transcriptome structure
SBDHR003	Homo sapiens	PARIS	-	HEK293T	HEK293T_1	GEO	GSE74353	GSM1917755	-	hg19	-	Lu Z,  et al. Cell 2016	Lu Z, Zhang QC, Lee B, Flynn RA et al. RNA Duplex Map in Living Cells Reveals Higher-Order Transcriptome Structure. Cell 2016 May 19;165(5):1267-1279. 	27180905	RNA duplex map in living cells reveals higher order transcriptome structure
SBDHR004	Homo sapiens	PARIS	-	HeLa	HeLa_HighRNase	GEO	GSE74353	GSM1917754	-	hg19	-	Lu Z,  et al. Cell 2016	Lu Z, Zhang QC, Lee B, Flynn RA et al. RNA Duplex Map in Living Cells Reveals Higher-Order Transcriptome Structure. Cell 2016 May 19;165(5):1267-1279. 	27180905	RNA duplex map in living cells reveals higher order transcriptome structure
SBDHR005	Homo sapiens	PARIS	-	HeLa	HeLa_LowRNase	GEO	GSE74353	GSM1917753	-	hg19	-	Lu Z,  et al. Cell 2016	Lu Z, Zhang QC, Lee B, Flynn RA et al. RNA Duplex Map in Living Cells Reveals Higher-Order Transcriptome Structure. Cell 2016 May 19;165(5):1267-1279. 	27180905	RNA duplex map in living cells reveals higher order transcriptome structure
SBDHR006	Homo sapiens	LIGR-Seq	-	HEK293T	AMT_Ligase_Rep1	GEO	GSE80167	GSM2113739	-	hg19	-	Sharma E, et al.  Mol Cell 2016 	Sharma E, Sterne-Weiler T, O'Hanlon D, Blencowe BJ. Global Mapping of Human RNA-RNA Interactions. Mol Cell 2016 May 19;62(4):618-26. 	27184080	 Global Mapping of Human RNA-RNA Interactions
SBDHR007	Homo sapiens	LIGR-Seq	-	HEK293T	AMT_Ligase_Rep2	GEO	GSE80167	GSM2113743	-	hg19	-	Sharma E, et al.  Mol Cell 2016	Sharma E, Sterne-Weiler T, O'Hanlon D, Blencowe BJ. Global Mapping of Human RNA-RNA Interactions. Mol Cell 2016 May 19;62(4):618-26. 	27184080	 Global Mapping of Human RNA-RNA Interactions
SBDHR008	Homo sapiens	SPLASH	-	Lymphoblastoid	Lymphoblastoid Cells Total RNA Replicate 1	SRP	SRP073550	SRX1715483	-	hg19	-	Aw JG,et al. Mol Cell. 2016 	Aw JG, Shen Y, Wilm A, et al. In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation. Mol Cell. 2016 May 19;62(4):603-17. doi: 10.1016/j.molcel.2016.04.028.	27184079	In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation.
SBDHR009	Homo sapiens	SPLASH	-	Lymphoblastoid	Lymphoblastoid Cells Total RNA Replicate 2	SRP	SRP073550	SRX1715484	-	hg19	-	Aw JG,et al. Mol Cell. 2016 	Aw JG, Shen Y, Wilm A, et al. In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation. Mol Cell. 2016 May 19;62(4):603-17. doi: 10.1016/j.molcel.2016.04.028.	27184079	In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation.
SBDHR010	Homo sapiens	SPLASH	-	hESCs	Human ES PolyA Replicate 2	SRP	SRP073550	SRX1715485	-	hg19	-	Aw JG,et al. Mol Cell. 2016	Aw JG, Shen Y, Wilm A, et al. In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation. Mol Cell. 2016 May 19;62(4):603-17. doi: 10.1016/j.molcel.2016.04.028.	27184079	In Vivo Mapping of Eukaryotic RNA Interactomes Reveals Principles of Higher-Order Organization and Regulation.
