datasetID	Species	SeqType	GeneSymbol	CellTissue	Description	Source	MainAccession	SubAccession	Assembly	CitationForShort	Citation	PubMedID	Title
SBDM1	Mus musculus	HITS-CLIP	Elavl3	forebrain	400 mJ/cm2 and stored in -80°C,  pre-cleared lysate at 4°C  for 1 hr	PubMed	22998874	22998874	mm9	Ince-Dunn G, et al. Neuron. 2012	Ince-Dunn G, Okano HJ, Jensen KB, Park WY, Zhong R, Ule J, Mele A, Fak JJ, Yang C, Zhang C, Yoo J, Herre M, Okano H, Noebels JL, Darnell RB. Neuronal Elav-like (Hu) proteins regulate RNA splicing and abundance to control glutamate levels and neuronal excitability. Neuron. 2012 Sep 20;75(6):1067-80.	22998874	Neuronal Elav-like (Hu) proteins regulate RNA splicing and abundance to control glutamate levels and neuronal excitability
SBDM2	Mus musculus	HITS-CLIP	Nova	brain	None	PubMed	20558669	20558669	mm9	Zhang C, et al. Science 2010	Zhang C, Frias MA, Mele A, Ruggiu M et al. Integrative modeling defines the Nova splicing-regulatory network and its combinatorial controls. Science 2010 Jul 23;329(5990):439-43	20558669	Integrative modeling defines the Nova splicing-regulatory network and its combinatorial controls
SBDM3	Mus musculus	HITS-CLIP	Ago1-4	brain	None	PubMed	21633356	21633356	mm9	Zhang C, et al. Nat Biotechnol. 2011	Zhang C, Darnell RB. Mapping in vivo protein-RNA interactions at single-nucleotide resolution from HITS-CLIP data. Nat Biotechnol. 2011 Jun 1;29(7):607-14.	21633356	Mapping in vivo protein-RNA interactions at single-nucleotide resolution from HITS-CLIP data
SBDM4	Mus musculus	HITS-CLIP	Nova	brain	None, sequenced by 454 and Illumina	PubMed	21633356	21633356	mm9	Zhang C, et al. Nat Biotechnol. 2011	Zhang C, Darnell RB. Mapping in vivo protein-RNA interactions at single-nucleotide resolution from HITS-CLIP data. Nat Biotechnol. 2011 Jun 1;29(7):607-14.	21633356	Mapping in vivo protein-RNA interactions at single-nucleotide resolution from HITS-CLIP data
SBDM5	Mus musculus	PAR-CLIP	Rbfox3	brain	3 months, 4SU, RNase T1, Millipore, C57BL6	PubMed	25240799	25240799	mm9	Kim KK, et al. Yang Y, et al. Nat Struct Mol Biol. 2014	Kim KK, Yang Y, Zhu J, Adelstein RS, Kawamoto S. Rbfox3 controls the biogenesis of a subset of microRNAs. Nat Struct Mol Biol. 2014 Oct;21(10):901-10.	25240799	Adelstein RS, Kawamoto S. Rbfox3 controls the biogenesis of a subset of microRNAs
SBDM6	Mus musculus	PAR-CLIP	Rbfox3	P19	mouse embryonal carcinoma P19 , 4SU, RNase T1, Millipore	PubMed	25240799	25240799	mm9	Kim KK, et al. Yang Y, et al. Nat Struct Mol Biol. 2014	Kim KK, Yang Y, Zhu J, Adelstein RS, Kawamoto S. Rbfox3 controls the biogenesis of a subset of microRNAs. Nat Struct Mol Biol. 2014 Oct;21(10):901-10.	25240799	Adelstein RS, Kawamoto S. Rbfox3 controls the biogenesis of a subset of microRNAs
SBDM7	Mus musculus	HITS-CLIP	Ago2	mESC	WT 1A	GEO	GSE25310	GSM622570	mm9	Leung AK, et al. Nat Struct Mol Biol 2011	Leung AK, Young AG, Bhutkar A, Zheng GX, Bosson AD, Nielsen CB, Sharp PA. Genome-wide identification of Ago2 binding sites from mouse embryonic stem cells with and without mature microRNAs. Nat Struct Mol Biol. 2011 Feb;18(2):237-44.	21258322	Genome-wide identification of Ago2 binding sites from mouse embryonic stem cells with and without mature microRNAs
SBDM8	Mus musculus	HITS-CLIP	Ago2	mESC	WT, 1B	GEO	GSE25310	GSM622571	mm9	Leung AK, et al. Nat Struct Mol Biol 2011	Leung AK, Young AG, Bhutkar A, Zheng GX, Bosson AD, Nielsen CB, Sharp PA. Genome-wide identification of Ago2 binding sites from mouse embryonic stem cells with and without mature microRNAs. Nat Struct Mol Biol. 2011 Feb;18(2):237-44.	21258322	Genome-wide identification of Ago2 binding sites from mouse embryonic stem cells with and without mature microRNAs
SBDM9	Mus musculus	HITS-CLIP	Ago2	mESC	WT2	GEO	GSE25310	GSM622572	mm9	Leung AK, et al. Nat Struct Mol Biol 2011	Leung AK, Young AG, Bhutkar A, Zheng GX, Bosson AD, Nielsen CB, Sharp PA. Genome-wide identification of Ago2 binding sites from mouse embryonic stem cells with and without mature microRNAs. Nat Struct Mol Biol. 2011 Feb;18(2):237-44.	21258322	Genome-wide identification of Ago2 binding sites from mouse embryonic stem cells with and without mature microRNAs
SBDM10	Mus musculus	HITS-CLIP	Tardbp	brain	8 weeks, high-Mnase, C57BL/6	GEO	GSE27201	GSE27201	mm9	Polymenidou M, et al. Nat Neurosci 2011	Polymenidou M, Lagier-Tourenne C, Hutt KR, Huelga SC et al. Long pre-mRNA depletion and RNA missplicing contribute to neuronal vulnerability from loss of TDP-43. Nat Neurosci 2011 Apr;14(4):459-68.	21358643	Long pre-mRNA depletion and RNA missplicing contribute to neuronal vulnerability from loss of TDP-43
SBDM11	Mus musculus	HITS-CLIP	Fus	cerebrum	C57BL/6	GEO	GSE37190	GSM913331	mm9	Ishigaki S, et al. Sci Rep 2012	Ishigaki S, Masuda A, Fujioka Y, Iguchi Y, Katsuno M, Shibata A, Urano F, Sobue G, Ohno K. Position-dependent FUS-RNA interactions regulate alternative splicing events and transcriptions. Sci Rep. 2012;2:529.	22829983	Position-dependent FUS-RNA interactions regulate alternative splicing events and transcriptions
SBDM12	Mus musculus	HITS-CLIP	Mbnl2	hippocampus	C57BL/6 and 129 SvlmJ mixed	GEO	GSE38497	GSE38497	mm9	Charizanis K, et al. Neuron 2012	Charizanis K, Lee KY, Batra R, Goodwin M, Zhang C, Yuan Y, Shiue L, Cline M, Scotti MM, Xia G, Kumar A, Ashizawa T, Clark HB, Kimura T, Takahashi MP, Fujimura H, Jinnai K, Yoshikawa H, Gomes-Pereira M, Gourdon G, Sakai N, Nishino S, Foster TC, Ares M Jr, Darnell RB, Swanson MS. Muscleblind-like 2-mediated alternative splicing in the developing brain and dysregulation in myotonic dystrophy. Neuron. 2012 Aug 9;75(3):437-50.	22884328	Muscleblind-like 2-mediated alternative splicing in the developing brain and dysregulation in myotonic dystrophy
SBDM13	Mus musculus	HITS-CLIP	Mbnl2	hippocampus	C57BL/6 and 129 SvlmJ mixed, repeat 1	GEO	GSE38497	GSM1127541	mm9	Charizanis K, et al. Neuron 2012	Charizanis K, Lee KY, Batra R, Goodwin M, Zhang C, Yuan Y, Shiue L, Cline M, Scotti MM, Xia G, Kumar A, Ashizawa T, Clark HB, Kimura T, Takahashi MP, Fujimura H, Jinnai K, Yoshikawa H, Gomes-Pereira M, Gourdon G, Sakai N, Nishino S, Foster TC, Ares M Jr, Darnell RB, Swanson MS. Muscleblind-like 2-mediated alternative splicing in the developing brain and dysregulation in myotonic dystrophy. Neuron. 2012 Aug 9;75(3):437-50.	22884328	Muscleblind-like 2-mediated alternative splicing in the developing brain and dysregulation in myotonic dystrophy
