datasetID	Species	SeqType	GeneSymbol	CellTissue	Description	Source	MainAccession	SubAccession	FileName	Assembly	newFileName	CitationForShort	Citation	PubMedID	Title
SBDY1	Saccharomyces cerevisiae	HITS-CLIP	PUF2	BY4742	WT, BY4742, C-terminally TAP tag, rep1	GEO	GSE73273	GSM1889960	GSM1889960_PUF2_BY4742_HITS-CLIP_HITS-CLIP_rep1_NA.bed	EF4	starBase3_EF4_SBDY1_PUF2_HITS-CLIP_GSM1889960.bed	Porter DF, et al. Proc Natl Acad Sci U S A 2015	Porter DF, Koh YY, VanVeller B, Raines RT et al. Target selection by natural and redesigned PUF proteins. Proc Natl Acad Sci U S A 2015 Dec 29;112(52):15868-73.	26668354	Target selection by natural and redesigned PUF proteins
SBDY2	Saccharomyces cerevisiae	HITS-CLIP	PUF2	BY4742	WT, BY4742, C-terminally TAP tag, rep2	GEO	GSE73273	GSM1889961	GSM1889961_PUF2_BY4742_HITS-CLIP_HITS-CLIP_rep2_NA.bed	EF4	starBase3_EF4_SBDY2_PUF2_HITS-CLIP_GSM1889961.bed	Porter DF, et al. Proc Natl Acad Sci U S A 2015	Porter DF, Koh YY, VanVeller B, Raines RT et al. Target selection by natural and redesigned PUF proteins. Proc Natl Acad Sci U S A 2015 Dec 29;112(52):15868-73.	26668354	Target selection by natural and redesigned PUF proteins
SBDY3	Saccharomyces cerevisiae	PAR-CLIP	PUF2	BY4742	WT, BY4742, C-terminally TAP tag, rep1	GEO	GSE73273	GSM1889962	GSM1889962_PUF2_BY4742_PAR-CLIP_PAR-CLIP_rep1_NA.bed	EF4	starBase3_EF4_SBDY3_PUF2_PAR-CLIP_GSM1889962.bed	Porter DF, et al. Proc Natl Acad Sci U S A 2015	Porter DF, Koh YY, VanVeller B, Raines RT et al. Target selection by natural and redesigned PUF proteins. Proc Natl Acad Sci U S A 2015 Dec 29;112(52):15868-73.	26668354	Target selection by natural and redesigned PUF proteins
SBDY4	Saccharomyces cerevisiae	PAR-CLIP	PUF2	BY4742	WT, BY4742, C-terminally TAP tag, rep2	GEO	GSE73273	GSM1889963	GSM1889963_PUF2_BY4742_PAR-CLIP_PAR-CLIP_rep2_NA.bed	EF4	starBase3_EF4_SBDY4_PUF2_PAR-CLIP_GSM1889963.bed	Porter DF, et al. Proc Natl Acad Sci U S A 2015	Porter DF, Koh YY, VanVeller B, Raines RT et al. Target selection by natural and redesigned PUF proteins. Proc Natl Acad Sci U S A 2015 Dec 29;112(52):15868-73.	26668354	Target selection by natural and redesigned PUF proteins
SBDY5	Saccharomyces cerevisiae	PAR-CLIP	PFK2	BY4742	PFK2-TAP::HIS5	GEO	GSE65992	GSM1612328	GSM1612328_PFK2_BY4742_PAR-CLIP_Pfk2p_NA_NA.bed	sacCer3	starBase3_sacCer3_SBDY5_PFK2_PAR-CLIP_GSM1612328.bed	Jin M, Fuller GG, Han T, Yao Y et al.	Jin M, Fuller GG, Han T, Yao Y et al. Glycolytic Enzymes Coalesce in G Bodies under Hypoxic Stress. Cell Rep 2017 Jul 25;20(4):895-908.	28746874	Glycolytic Enzymes Coalesce in G Bodies under Hypoxic Stress.
SBDY6	Saccharomyces cerevisiae	PAR-CLIP	ENO1	BY4742	PFK2-TAP::HIS5	GEO	GSE65992	GSM1666028	GSM1666028_ENO1_BY4742_PAR-CLIP_Eno1_NA_NA.bed	sacCer3	starBase3_sacCer3_SBDY6_ENO1_PAR-CLIP_GSM1666028.bed	Jin M, Fuller GG, Han T, Yao Y et al.	Jin M, Fuller GG, Han T, Yao Y et al. Glycolytic Enzymes Coalesce in G Bodies under Hypoxic Stress. Cell Rep 2017 Jul 25;20(4):895-908.	28746874	Glycolytic Enzymes Coalesce in G Bodies under Hypoxic Stress.
SBDY7	Saccharomyces cerevisiae	PAR-CLIP	FBA1	BY4742	PFK2-TAP::HIS5	GEO	GSE65992	GSM1666029	GSM1666029_FBA1_BY4742_PAR-CLIP_Fba1_NA_NA.bed	sacCer3	starBase3_sacCer3_SBDY7_FBA1_PAR-CLIP_GSM1666029.bed	Jin M, Fuller GG, Han T, Yao Y et al.	Jin M, Fuller GG, Han T, Yao Y et al. Glycolytic Enzymes Coalesce in G Bodies under Hypoxic Stress. Cell Rep 2017 Jul 25;20(4):895-908.	28746874	Glycolytic Enzymes Coalesce in G Bodies under Hypoxic Stress.
SBDY8	Saccharomyces cerevisiae	PAR-CLIP	SGV1	BY4741	Bur1, rep1	GEO	GSE81822	GSM2470188	GSM2470188_SGV1_BY4741_PAR-CLIP_Bur1_rep1_NA.bed	sacCer3	starBase3_sacCer3_SBDY8_SGV1_PAR-CLIP_GSM2470188.bed	Battaglia S, Lidschreiber M, Baejen C, Torkler P et al.	Battaglia S, Lidschreiber M, Baejen C, Torkler P et al. RNA-dependent chromatin association of transcription elongation factors and Pol II CTD kinases. Elife 2017 May 24;6.	28537551	RNA-dependent chromatin association of transcription elongation factors and Pol II CTD kinases.
SBDY9	Saccharomyces cerevisiae	PAR-CLIP	SGV1	BY4741	Bur1, rep2	GEO	GSE81822	GSM2470189	GSM2470189_SGV1_BY4741_PAR-CLIP_Bur1_rep2_NA.bed	sacCer3	starBase3_sacCer3_SBDY9_SGV1_PAR-CLIP_GSM2470189.bed	Battaglia S, Lidschreiber M, Baejen C, Torkler P et al.	Battaglia S, Lidschreiber M, Baejen C, Torkler P et al. RNA-dependent chromatin association of transcription elongation factors and Pol II CTD kinases. Elife 2017 May 24;6.	28537551	RNA-dependent chromatin association of transcription elongation factors and Pol II CTD kinases.
SBDY10	Saccharomyces cerevisiae	PAR-CLIP	SGV1	BY4741	Bur1, rep3	GEO	GSE81822	GSM2470190	GSM2470190_SGV1_BY4741_PAR-CLIP_Bur1_rep3_NA.bed	sacCer3	starBase3_sacCer3_SBDY10_SGV1_PAR-CLIP_GSM2470190.bed	Battaglia S, Lidschreiber M, Baejen C, Torkler P et al.	Battaglia S, Lidschreiber M, Baejen C, Torkler P et al. RNA-dependent chromatin association of transcription elongation factors and Pol II CTD kinases. Elife 2017 May 24;6.	28537551	RNA-dependent chromatin association of transcription elongation factors and Pol II CTD kinases.
