name,mirAccession,geneName,targetSites,bioComplex,clipReadNum,cancerNum
hsa-miR-200b-3p,MIMAT0000318,CTA-204B4.6,1,1,1,-1
hsa-miR-200b-3p,MIMAT0000318,CTD-2630F21.1,1,8,190,-1
hsa-miR-200b-3p,MIMAT0000318,CTB-92J24.2,1,1,8,-1
hsa-miR-200b-3p,MIMAT0000318,RP11-473I1.10,1,2,14,-1
hsa-miR-200b-3p,MIMAT0000318,AC005154.5,1,1,22,-1
hsa-miR-200b-3p,MIMAT0000318,RP13-507I23.1,1,2,0,-1
hsa-miR-200b-3p,MIMAT0000318,RP11-18F14.2,2,1,14,-1
hsa-miR-200b-3p,MIMAT0000318,RP11-214C8.5,1,1,18,-1
hsa-miR-200b-3p,MIMAT0000318,OIP5-AS1,1,3,57,-1
hsa-miR-200b-3p,MIMAT0000318,CTD-3099C6.9,1,1,23,-1
hsa-miR-200b-3p,MIMAT0000318,RP11-277L2.2,1,1,1,-1
hsa-miR-200b-3p,MIMAT0000318,RP11-429J17.7,1,2,13,-1
hsa-miR-200b-3p,MIMAT0000318,C11orf95,1,1,139,-1
hsa-miR-200b-3p,MIMAT0000318,RP4-773N10.5,1,1,16,-1
hsa-miR-200b-3p,MIMAT0000318,RP11-690D19.3,1,1,351,-1
hsa-miR-200b-3p,MIMAT0000318,XIST,3,11,57,0
hsa-miR-200b-3p,MIMAT0000318,RP5-1085F17.3,1,1,6,-1
hsa-miR-200b-3p,MIMAT0000318,LINC00641,1,1,6,-1
hsa-miR-200b-3p,MIMAT0000318,RP11-361F15.2,1,1,47,-1
hsa-miR-200b-3p,MIMAT0000318,CWC15,1,5,62,-1
hsa-miR-200b-3p,MIMAT0000318,SCAMP1,2,5,66,-1
hsa-miR-200b-3p,MIMAT0000318,RP11-145M9.4,1,3,173,-1
hsa-miR-200b-3p,MIMAT0000318,MAPKAPK5-AS1,1,1,7,-1
hsa-miR-200b-3p,MIMAT0000318,MALAT1,2,8,759,2
hsa-miR-200b-3p,MIMAT0000318,RP11-379K17.4,1,1,5,-1
hsa-miR-200b-3p,MIMAT0000318,CTD-3185P2.1,1,10,182,-1
hsa-miR-200b-3p,MIMAT0000318,MATN1-AS1,1,1,25,-1
hsa-miR-200b-3p,MIMAT0000318,LINC00667,1,4,113,-1
hsa-miR-200b-3p,MIMAT0000318,PPP1R9B,1,5,59,-1
hsa-miR-200b-3p,MIMAT0000318,RP6-24A23.7,2,10,761,-1
hsa-miR-200b-3p,MIMAT0000318,RP11-403I13.4,1,1,1,-1
hsa-miR-200b-3p,MIMAT0000318,ZNF518A,1,3,107,-1
hsa-miR-200b-3p,MIMAT0000318,RP11-305E6.4,1,1,12,-1
hsa-miR-200b-3p,MIMAT0000318,RP11-91G21.2,1,2,43,-1
hsa-miR-200b-3p,MIMAT0000318,AC005154.6,1,1,22,-1
hsa-miR-200b-3p,MIMAT0000318,UBXN8,1,1,9,-1
hsa-miR-200a-3p,MIMAT0000682,PINK1-AS,1,1,28,-1
hsa-miR-200a-3p,MIMAT0000682,LA16c-306E5.2,1,4,55,-1
hsa-miR-200a-3p,MIMAT0000682,RP11-33N16.3,1,1,28,-1
hsa-miR-200a-3p,MIMAT0000682,RP11-203J24.9,1,1,164,-1
hsa-miR-200a-3p,MIMAT0000682,RP11-106M3.2,1,1,1,-1
hsa-miR-200a-3p,MIMAT0000682,AC010729.1,1,2,0,-1
hsa-miR-200a-3p,MIMAT0000682,DYX1C1-CCPG1,1,1,2,-1
hsa-miR-200a-3p,MIMAT0000682,OIP5-AS1,3,12,886,-1
hsa-miR-200a-3p,MIMAT0000682,RP11-793H13.8,1,1,1,-1
hsa-miR-200a-3p,MIMAT0000682,U47924.19,1,1,16,-1
hsa-miR-200a-3p,MIMAT0000682,SNHG16,1,2,43,-1
hsa-miR-200a-3p,MIMAT0000682,TMEM161B-AS1,1,2,0,-1
hsa-miR-200a-3p,MIMAT0000682,CTBP1-AS1,1,1,41,-1
hsa-miR-200a-3p,MIMAT0000682,RP11-13N13.2,1,3,22,-1
hsa-miR-200a-3p,MIMAT0000682,RP11-220I1.1,1,1,3,-1
hsa-miR-200a-3p,MIMAT0000682,RP1-283E3.8,1,1,5,-1
hsa-miR-200a-3p,MIMAT0000682,DLX6-AS1,1,1,8,-1
hsa-miR-200a-3p,MIMAT0000682,XIST,3,6,0,1
hsa-miR-200a-3p,MIMAT0000682,RP11-539I5.1,1,1,7,-1
hsa-miR-200a-3p,MIMAT0000682,RP5-890O3.9,1,1,9,-1
hsa-miR-200a-3p,MIMAT0000682,AC003665.1,1,1,7,-1
hsa-miR-200a-3p,MIMAT0000682,LINC00661,1,1,9,-1
hsa-miR-200a-3p,MIMAT0000682,EMG1,1,1,16,-1
hsa-miR-200a-3p,MIMAT0000682,AC016629.8,1,1,111,-1
hsa-miR-200a-3p,MIMAT0000682,MALAT1,2,8,2683,2
hsa-miR-200a-3p,MIMAT0000682,SEC22B,1,2,0,-1
hsa-miR-200a-3p,MIMAT0000682,C17orf76-AS1,1,2,0,-1
hsa-miR-200a-3p,MIMAT0000682,TP73-AS1,2,4,27,-1
hsa-miR-200a-3p,MIMAT0000682,SNHG15,1,3,12,-1
hsa-miR-200a-3p,MIMAT0000682,LINC00319,1,1,8,-1
hsa-miR-200a-3p,MIMAT0000682,TRAF3IP2-AS1,1,2,0,-1
hsa-miR-200a-3p,MIMAT0000682,RP11-469M7.1,1,2,20,-1
hsa-miR-200a-3p,MIMAT0000682,AD000090.2,1,1,8,-1
hsa-miR-429,MIMAT0001536,CTA-204B4.6,1,1,1,-1
hsa-miR-429,MIMAT0001536,CTD-2630F21.1,1,8,190,-1
hsa-miR-429,MIMAT0001536,CTB-92J24.2,1,1,8,-1
hsa-miR-429,MIMAT0001536,RP11-473I1.10,1,2,14,-1
hsa-miR-429,MIMAT0001536,AC005154.5,1,1,22,-1
hsa-miR-429,MIMAT0001536,RP13-507I23.1,1,2,0,-1
hsa-miR-429,MIMAT0001536,RP11-18F14.2,2,1,14,-1
hsa-miR-429,MIMAT0001536,RP11-214C8.5,1,1,18,-1
hsa-miR-429,MIMAT0001536,OIP5-AS1,1,3,57,-1
hsa-miR-429,MIMAT0001536,CTD-3099C6.9,1,1,23,-1
hsa-miR-429,MIMAT0001536,RP11-277L2.2,1,1,1,-1
hsa-miR-429,MIMAT0001536,RP11-429J17.7,1,2,13,-1
hsa-miR-429,MIMAT0001536,C11orf95,1,1,139,-1
hsa-miR-429,MIMAT0001536,RP4-773N10.5,1,1,16,-1
hsa-miR-429,MIMAT0001536,RP11-690D19.3,1,1,351,-1
hsa-miR-429,MIMAT0001536,XIST,3,11,57,1
hsa-miR-429,MIMAT0001536,LINC00641,1,1,6,-1
hsa-miR-429,MIMAT0001536,RP11-361F15.2,1,1,47,-1
hsa-miR-429,MIMAT0001536,SCAMP1,2,5,66,-1
hsa-miR-429,MIMAT0001536,CWC15,1,5,62,-1
hsa-miR-429,MIMAT0001536,RP11-145M9.4,1,3,173,-1
hsa-miR-429,MIMAT0001536,MAPKAPK5-AS1,1,1,7,-1
hsa-miR-429,MIMAT0001536,RP11-379K17.4,1,1,5,-1
hsa-miR-429,MIMAT0001536,MALAT1,2,8,759,2
hsa-miR-429,MIMAT0001536,CTD-3185P2.1,1,10,182,-1
hsa-miR-429,MIMAT0001536,LINC00667,1,4,113,-1
hsa-miR-429,MIMAT0001536,MATN1-AS1,1,1,25,-1
hsa-miR-429,MIMAT0001536,PPP1R9B,1,5,59,-1
hsa-miR-429,MIMAT0001536,RP6-24A23.7,2,10,761,-1
hsa-miR-429,MIMAT0001536,RP11-403I13.4,1,1,1,-1
hsa-miR-429,MIMAT0001536,ZNF518A,1,3,107,-1
hsa-miR-429,MIMAT0001536,RP11-305E6.4,1,1,12,-1
hsa-miR-429,MIMAT0001536,RP11-91G21.2,1,2,43,-1
hsa-miR-429,MIMAT0001536,AC005154.6,1,1,22,-1
hsa-miR-429,MIMAT0001536,UBXN8,1,1,9,-1
hsa-miR-551a,MIMAT0003214,CTD-2090I13.1,1,1,9,-1
hsa-miR-551a,MIMAT0003214,RP11-227G15.3,1,1,21,-1
hsa-miR-551a,MIMAT0003214,AC009948.5,1,1,29,-1
hsa-miR-551a,MIMAT0003214,RP11-429J17.2,1,1,16,-1
hsa-miR-34a-5p,MIMAT0000255,CTA-204B4.6,1,1,1,-1
hsa-miR-34a-5p,MIMAT0000255,CTC-444N24.8,1,2,10,-1
hsa-miR-34a-5p,MIMAT0000255,CTD-2090I13.1,1,1,9,-1
hsa-miR-34a-5p,MIMAT0000255,RP11-420G6.4,1,1,6,-1
hsa-miR-34a-5p,MIMAT0000255,RP1-37E16.12,1,1,14,-1
hsa-miR-34a-5p,MIMAT0000255,AC005863.1,1,1,8,-1
hsa-miR-34a-5p,MIMAT0000255,CTC-503J8.6,1,1,18,-1
hsa-miR-34a-5p,MIMAT0000255,AC112229.7,1,2,11,-1
hsa-miR-34a-5p,MIMAT0000255,HCG18,1,5,54,7
hsa-miR-34a-5p,MIMAT0000255,AC078852.1,1,1,8,-1
hsa-miR-34a-5p,MIMAT0000255,RP11-54O7.1,1,2,1,-1
hsa-miR-34a-5p,MIMAT0000255,CASP8AP2,1,17,2437,-1
hsa-miR-34a-5p,MIMAT0000255,RP11-284N8.3,1,1,48,-1
hsa-miR-34a-5p,MIMAT0000255,CTD-2245O6.1,1,2,13,-1
hsa-miR-34a-5p,MIMAT0000255,RP11-397D12.6,1,1,6,-1
hsa-miR-34a-5p,MIMAT0000255,C11orf95,1,3,20,-1
hsa-miR-34a-5p,MIMAT0000255,RP4-773N10.5,1,1,5,-1
hsa-miR-34a-5p,MIMAT0000255,RP11-120D5.1,1,1,8,-1
hsa-miR-34a-5p,MIMAT0000255,RP11-20G6.3,1,2,21,-1
hsa-miR-34a-5p,MIMAT0000255,KCNQ1OT1,1,2,0,2
hsa-miR-34a-5p,MIMAT0000255,LINC00662,1,1,6,-1
hsa-miR-34a-5p,MIMAT0000255,SNHG7,1,9,177,3
hsa-miR-34a-5p,MIMAT0000255,XIST,1,6,29,1
hsa-miR-34a-5p,MIMAT0000255,CTC-487M23.5,1,11,578,-1
hsa-miR-34a-5p,MIMAT0000255,RP11-552M11.4,1,1,1,-1
hsa-miR-34a-5p,MIMAT0000255,RP11-156L14.1,1,1,5,-1
hsa-miR-34a-5p,MIMAT0000255,GNAS-AS1,1,2,4,-1
hsa-miR-34a-5p,MIMAT0000255,NUTM2A-AS1,1,1,10,-1
hsa-miR-34a-5p,MIMAT0000255,CTC-281B15.1,1,1,6,-1
hsa-miR-34a-5p,MIMAT0000255,DCP1A,1,2,40,-1
hsa-miR-34a-5p,MIMAT0000255,CTD-2020K17.1,1,1,27,-1
hsa-miR-34a-5p,MIMAT0000255,CTD-3185P2.1,1,10,182,-1
hsa-miR-34a-5p,MIMAT0000255,LINC00667,2,3,39,-1
hsa-miR-34a-5p,MIMAT0000255,PCBP1-AS1,1,2,27,-1
hsa-miR-34a-5p,MIMAT0000255,RP11-730K11.1,1,1,7,-1
hsa-miR-34a-5p,MIMAT0000255,NEAT1,1,1,1975,1
hsa-miR-34a-5p,MIMAT0000255,RP11-216F19.2,1,2,0,-1
hsa-miR-34a-5p,MIMAT0000255,RP11-380L11.4,1,1,5,-1
hsa-miR-34a-5p,MIMAT0000255,RP11-6N17.9,1,2,18,-1
hsa-miR-34a-5p,MIMAT0000255,AC013268.5,1,2,43,-1
hsa-miR-34a-5p,MIMAT0000255,ERVK3-1,1,4,53,-1
hsa-miR-34a-5p,MIMAT0000255,RP11-65F13.2,1,1,5,-1
hsa-miR-34a-5p,MIMAT0000255,RP11-153A23.6,1,1,8,-1
hsa-miR-34a-5p,MIMAT0000255,RP1-5O6.6,1,3,10,-1
hsa-miR-34a-5p,MIMAT0000255,RP11-496I9.1,1,1,31,-1
hsa-miR-378f,MIMAT0018932,CTA-204B4.6,1,1,1,-1
hsa-miR-378f,MIMAT0018932,CTC-444N24.8,1,1,5,-1
hsa-miR-378f,MIMAT0018932,LINC00657,1,1,81,-1
hsa-miR-378f,MIMAT0018932,RP11-392M18.5,1,2,0,-1
