,lncRNA,disease,pred,label,evidence
22545,XIST,DOID:10534,0.9982409477233887,0,1
76945,MALAT1,DOID:10534,0.9978197813034058,0,1
66000,LINC00312,DOID:10534,0.9920555949211121,0,0
37965,HNF1A-AS1,DOID:10534,0.9735553860664368,0,1
59437,TUG1,DOID:10534,0.9727898240089417,0,1
38178,DISC2,DOID:10534,0.9588708877563477,0,0
91013,NEAT1,DOID:10534,0.9555164575576782,0,1
27231,BCYRN1,DOID:10534,0.9455686807632446,0,1
10182,CCAT2,DOID:10534,0.9408985376358032,0,1
41480,MINCR,DOID:10534,0.9101947546005249,0,0
67490,LINC00583,DOID:10534,0.8992179036140442,0,0
64791,HOTAIRM1,DOID:10534,0.8963558673858643,0,1
59591,CRNDE,DOID:10534,0.8952785730361938,0,1
45172,NPTN-IT1,DOID:10534,0.8916524052619934,0,0
84448,DANCR,DOID:10534,0.8814791440963745,0,1
75075,LINC01426,DOID:10534,0.8758231401443481,0,0
77548,CAHM,DOID:10534,0.8723088502883911,0,0
84547,PRNCR1,DOID:10534,0.8694058060646057,0,1
20898,AFAP1-AS1,DOID:10534,0.868353009223938,0,1
35277,NPSR1-AS1,DOID:10534,0.8629269599914551,0,0
55369,SOX2-OT,DOID:10534,0.8528019189834595,0,0
20435,NCRUPAR,DOID:10534,0.8494002223014832,0,0
24687,MIR7-3HG,DOID:10534,0.841532826423645,0,0
78900,HCCAT5,DOID:10534,0.8405466675758362,0,0
28593,PCAT1,DOID:10534,0.8362085223197937,0,1
40063,CYTOR,DOID:10534,0.8330081701278687,0,0
45543,TRERNA1,DOID:10534,0.826567530632019,0,1
81508,MIR194-2HG,DOID:10534,0.8211069107055664,0,0
83336,LINC00974,DOID:10534,0.8132047653198242,0,1
4884,CASC16,DOID:10534,0.8126229047775269,0,0
81955,MIR17HG,DOID:10534,0.8087773323059082,0,0
43016,DBH-AS1,DOID:10534,0.808003842830658,0,0
72543,PANDAR,DOID:10534,0.8038516640663147,0,1
74573,TP53COR1,DOID:10534,0.7959660291671753,0,0
94894,CASC2,DOID:10534,0.7906939387321472,0,1
70303,HOTTIP,DOID:10534,0.7576273679733276,0,1
26148,IGF2-AS,DOID:10534,0.7391247153282166,0,0
67856,SNHG4,DOID:10534,0.7037583589553833,0,0
35359,KCNQ1OT1,DOID:10534,0.7015714645385742,0,1
67398,ZFAS1,DOID:10534,0.6750660538673401,0,1
40583,HULC,DOID:10534,0.6378393769264221,0,1
